company,ticker,year,segment,industry,hq_country,ceo_sust_statem,revenue_MEUR,num_employees,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,energy_consump_GJ,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,water_withdraw_thm3,disclosure_of_water_discharges,ghg_emis_kt,transport_emis_kt,external_audit_of_ESG_report,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,base_year,years_esg_data,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue,csrd_2025,csrd_2027
Etteplan Oyj,ETTE,2022,Mid,Industrial Goods and Services,Finland,0,350.0,3951.0,1,1,1,,1,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,1,0
CapMan Oyj,CAPMAN,2019,Mid,Finance,Finland,1,48.927,147.0,1,1,1,,0,0,1,,0,,,0,1,1,1,1,2019,4,0,0,0,0,,,0,1
CapMan Oyj,CAPMAN,2020,Mid,Finance,Finland,1,43.0,133.0,1,1,0,433.3536,0,0,0,,0,0.064,0.0889,0,1,0,1,1,2019,4,1,0,1,1,0.001488372093023256,,0,1
CapMan Oyj,CAPMAN,2021,Mid,Finance,Finland,1,52.784,150.0,1,1,1,,0,0,1,,0,0.061,202.125,0,1,0,1,1,2019,4,0,0,1,1,0.0011556532282509851,,0,1
CapMan Oyj,CAPMAN,2022,Mid,Finance,Finland,0,67.532,186.0,1,1,1,707065.2,1,0,1,,0,0.008,197.799,0,1,0,0,1,2019,4,1,0,1,1,0.00011846235858555944,,0,1
eQ Oyj,EQV1V,2019,Large,Finance,Finland,1,50.6,89.0,1,1,1,361.4256,0,1,0,,0,,,0,1,0,0,0,2019,4,1,0,0,0,,,0,1
eQ Oyj,EQV1V,2020,Large,Finance,Finland,1,56.7,84.0,1,1,1,323.6148,1,1,0,,0,,0.003961,0,0,0,0,0,2019,4,1,0,0,1,,,0,1
eQ Oyj,EQV1V,2021,Large,Finance,Finland,1,79.473,98.0,1,0,1,,1,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,1
eQ Oyj,EQV1V,2022,Large,Finance,Finland,0,77.665,94.0,1,1,1,374.256,0,1,0,,0,,,0,1,0,0,0,2019,4,1,0,0,0,,,0,1
Lassila & Tikanoja Oyj,LAT1V,2019,Mid,Industrial Goods and Services,Finland,0,784.3,8207.0,1,1,1,817405.2,0,0,1,,0,50.3,15.0,1,1,1,0,1,2019,4,1,0,1,1,0.06413362233839093,,1,0
Lassila & Tikanoja Oyj,LAT1V,2020,Mid,Industrial Goods and Services,Finland,1,802.2,8587.0,1,1,1,838555.2,1,0,1,,1,40.2,16.6,1,1,1,1,1,2019,4,1,0,1,1,0.05011219147344802,,1,0
Lassila & Tikanoja Oyj,LAT1V,2021,Mid,Industrial Goods and Services,Finland,1,812.5,8162.0,1,1,1,796204.8,0,0,1,,0,42.004,17.8,1,1,1,1,1,2019,4,1,0,1,1,0.051697230769230766,,1,0
Lassila & Tikanoja Oyj,LAT1V,2022,Mid,Industrial Goods and Services,Finland,0,844.1,7336.0,1,1,1,756532.8,1,0,1,23.837,1,31.658,269.239,1,1,1,1,1,2019,4,1,1,1,1,0.03750503494846582,0.02823954507759744,1,0
Suominen Oyj,SUY1V,2019,Mid,Consumer Goods and Services,Finland,1,411.412,685.0,1,1,1,1764510.6,0,1,0,6578.264,1,114.686,,0,1,0,0,1,2019,3,1,1,1,0,0.278761922355206,15.989480131838645,0,1
Suominen Oyj,SUY1V,2020,Mid,Consumer Goods and Services,Finland,1,458.9,673.0,1,1,0,1989957.3,0,0,0,7074.528,1,119.62,,0,1,0,0,1,2019,3,1,1,1,0,0.2606668119415995,15.416273697973416,0,1
Suominen Oyj,SUY1V,2021,Mid,Consumer Goods and Services,Finland,1,443.2,704.0,1,1,1,1852993.0,0,0,1,5927.0,0,97.014,,1,1,0,0,1,2019,3,1,1,1,0,0.21889440433212995,13.373194945848375,0,1
Revenio Group Corporation,REG1V,2021,Large,Health Care,Finland,1,78.778,158.0,1,0,1,,0,0,0,,0,,,0,0,1,0,1,2019,4,0,0,0,0,,,0,1
Revenio Group Corporation,REG1V,2022,Large,Health Care,Finland,0,96.976,207.0,1,0,1,,0,0,0,,0,,,0,1,1,0,0,2019,4,0,0,0,0,,,0,1
Revenio Group Corporation,REG1V,2019,Large,Health Care,Finland,0,49.5,,1,0,1,,0,0,0,,0,,,0,0,0,0,1,2019,4,0,0,0,0,,,0,0
Revenio Group Corporation,REG1V,2020,Large,Health Care,Finland,0,61.1,129.0,1,0,1,,0,0,0,,0,,,0,1,1,0,1,2019,4,0,0,0,0,,,0,1
Alma Media Oyj,ALMA,2019,Mid,Consumer Goods and Services,Finland,1,250.2,1884.0,1,1,1,17269.0,0,1,1,4068.0,0,1.085,21.42,0,1,0,1,1,2019,3,1,1,1,1,0.004336530775379696,16.258992805755398,1,0
Alma Media Oyj,ALMA,2020,Mid,Consumer Goods and Services,Finland,1,230.2,1481.0,1,1,1,14373.0,0,0,0,,0,0.853,18.379,0,1,0,1,1,2019,3,1,0,1,1,0.0037054735013032146,,1,0
Alma Media Oyj,ALMA,2021,Mid,Consumer Goods and Services,Finland,0,308.8,1821.0,1,1,1,14232.0,1,0,0,,0,0.831,16.222,0,1,0,0,1,2019,3,1,0,1,1,0.002691062176165803,,1,0
Neste Oyj,NESTE,2019,Large,Energy and Utilities,Finland,1,15840.0,5474.0,1,1,1,46080000.0,0,1,1,9120.0,0,2982.0,49000.0,1,1,1,1,1,2019,4,1,1,1,1,0.18825757575757576,0.5757575757575758,1,0
Neste Oyj,NESTE,2020,Large,Energy and Utilities,Finland,1,11751.0,4813.0,1,1,1,43920000.0,1,1,1,8557.0,1,2774.0,48000.0,1,1,1,1,1,2019,4,1,1,1,1,0.236065015743341,0.728193345247213,1,0
Neste Oyj,NESTE,2021,Large,Energy and Utilities,Finland,1,15148.0,4860.0,1,1,1,36360000.0,1,1,1,9263.0,1,2347.0,35000.0,1,1,1,1,1,2019,4,1,1,1,1,0.15493794560337998,0.611499867969369,1,0
Neste Oyj,NESTE,2022,Large,Energy and Utilities,Finland,0,25707.0,5244.0,1,1,1,39240000.0,0,1,1,8604.0,1,2100.0,35700.0,1,1,1,1,1,2019,4,1,1,1,1,0.08168981211343214,0.33469483020189056,1,0
KONE Oyj,KNEBV,2019,Large,Industrial Goods and Services,Finland,1,9982.0,59825.0,1,1,1,1795320.0,0,0,1,307.2,1,153.5,13439.4,1,1,0,1,1,2019,4,1,1,1,1,0.015377679823682629,0.030775395712282105,1,0
KONE Oyj,KNEBV,2020,Large,Industrial Goods and Services,Finland,1,9939.0,61371.0,1,1,1,1763280.0,1,1,1,298.8,1,153.2,14105.5,0,1,1,1,1,2019,4,1,1,1,1,0.015414025555890934,0.030063386658617568,1,0
KONE Oyj,KNEBV,2021,Large,Industrial Goods and Services,Finland,1,10514.1,62706.0,1,1,1,1905120.0,1,1,1,328.2,0,130.9,15454.1,0,1,1,1,1,2019,4,1,1,1,1,0.012449948164845303,0.031215225268924583,1,0
KONE Oyj,KNEBV,2022,Large,Industrial Goods and Services,Finland,0,10906.7,63277.0,1,1,1,1953720.0,1,1,1,239.8,0,126.8,13086.1,0,1,0,0,1,2019,4,1,1,1,1,0.011625881338993461,0.021986485371377228,1,0
Cargotec Oyj,CGCBV,2019,Large,Industrial Goods and Services,Finland,1,3722.0,12587.0,1,1,1,593280.0,0,0,0,91.9,0,51.7,6466.0,1,1,1,1,1,2019,4,1,1,1,1,0.013890381515314349,0.024691026329930147,1,0
Cargotec Oyj,CGCBV,2020,Large,Industrial Goods and Services,Finland,1,3263.4,11541.0,1,1,1,567000.0,1,0,1,,0,46.6,5654.0,1,1,1,1,1,2019,4,1,0,1,1,0.014279585708157136,,1,0
Cargotec Oyj,CGCBV,2021,Large,Industrial Goods and Services,Finland,1,3315.0,11163.0,1,1,1,569880.0,1,0,1,,0,41.5,6180.5,1,1,1,1,1,2019,4,1,0,1,1,0.012518853695324284,,1,0
Cargotec Oyj,CGCBV,2022,Large,Industrial Goods and Services,Finland,0,4089.0,11405.0,1,1,1,586767.6,1,0,1,,0,36.2,6435.0,0,1,1,0,1,2019,4,1,0,1,1,0.008853020298361458,,1,0
Oriola Oyj (formerly Oriola-KD Corporati,OKDAV,2019,Mid,Health Care,Finland,1,1721.3,2818.0,1,1,1,101782.8,1,0,1,,0,2582.0,4761.0,1,1,1,1,1,2019,3,1,0,1,1,1.5000290478126996,,1,0
Oriola Oyj (formerly Oriola-KD Corporati,OKDAV,2020,Mid,Health Care,Finland,1,1.8008,2730.0,1,1,1,99720.0,1,0,0,,0,2.135,4.833,0,1,0,0,1,2019,3,1,0,1,1,1.1855841848067525,,0,1
Oriola Oyj (formerly Oriola-KD Corporati,OKDAV,2022,Mid,Health Care,Finland,0,1515.5,821.0,1,1,1,58132.8,1,0,1,,0,0.963,3.818,1,1,0,1,1,2019,3,1,0,1,1,0.0006354338502144506,,0,1
Orion Oyj,ORNAV,2020,Large,Health Care,Finland,1,1078.1,3144.0,1,1,1,558712.8,1,0,1,259.0,1,26.309,,1,1,0,0,1,2019,4,1,1,1,0,0.02440311659400798,0.24023745478156017,1,0
Orion Oyj,ORNAV,2021,Large,Health Care,Finland,1,1041.0,3357.0,1,1,1,564145.2,0,1,1,266.0,1,24.441,554.14,1,1,1,1,1,2019,4,1,1,1,1,0.023478386167146974,0.25552353506243997,1,0
Orion Oyj,ORNAV,2022,Large,Health Care,Finland,0,1340.6,3520.0,1,1,1,557395.1996,0,0,1,259.0,1,24.046,290.43,1,1,1,0,1,2019,4,1,1,1,1,0.017936744741160675,0.19319707593614802,1,0
Orion Oyj,ORNAV,2019,Large,Health Care,Finland,1,1051.0,3395.0,1,1,1,570391.2,1,0,1,260.0,1,20.0,,0,1,1,1,1,2019,4,1,1,1,0,0.019029495718363463,0.24738344433872503,1,0
Metso Outotec Oyj,METSO,2021,Large,Industrial Goods and Services,Finland,1,4236.0,15613.0,1,1,1,1626000.0,1,0,1,381.0,0,134.927,3320.0,0,1,0,1,1,2019,4,1,1,1,1,0.03185245514636449,0.08994334277620397,1,0
Metso Outotec Oyj,METSO,2022,Large,Industrial Goods and Services,Finland,0,5295.0,16357.0,1,1,1,1645000.0,1,0,1,381.0,0,133.819,3650.0,1,1,1,1,1,2019,4,1,1,1,1,0.025272710103871575,0.07195467422096317,1,0
Metso Outotec Oyj,METSO,2019,Large,Industrial Goods and Services,Finland,0,1210.0,4045.0,1,1,1,156000.0,1,1,1,64.0,0,10.36,586.0,0,1,1,1,1,2019,4,1,1,1,1,0.00856198347107438,0.05289256198347107,1,0
Metso Outotec Oyj,METSO,2020,Large,Industrial Goods and Services,Finland,1,3319.0,15455.0,1,1,1,,0,0,0,,0,51.097,985.493,0,1,0,1,1,2019,4,0,0,1,1,0.015395299789093101,,1,0
SRV Group plc,SRV,2019,Mid,Industrial Goods and Services,Finland,0,1060.0,1044.0,1,1,1,293126.4,0,0,1,,0,15.7,,0,1,0,1,1,2019,2,1,0,1,0,0.014811320754716981,,1,0
SRV Group plc,SRV,2020,Mid,Industrial Goods and Services,Finland,0,975.534,973.0,1,1,1,310471.2,0,0,1,,0,,,0,1,0,1,1,2019,2,1,0,0,0,,,0,1
Afarak Group Plc,AFAGR,2019,Mid,Basic Materials,Finland,0,144.9,905.0,1,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Afarak Group Plc,AFAGR,2020,Mid,Basic Materials,Finland,0,59.805,615.0,1,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Raisio Oyj Vaihto-osake,RAIVV,2020,Mid,Consumer Goods and Services,Finland,1,233.6,332.0,1,1,1,270000.0,0,0,1,145.0,1,0.45,1.15,0,1,0,1,1,2019,4,1,1,1,1,0.0019263698630136987,0.6207191780821918,0,1
YIT Oyj,YIT,2019,Large,Industrial Goods and Services,Finland,1,3391.5,7417.0,1,1,1,1205640.0,0,0,1,,0,198.9,,0,1,1,0,1,2019,3,1,0,1,0,0.058646616541353384,,1,0
YIT Oyj,YIT,2020,Large,Industrial Goods and Services,Finland,1,3069.0,7027.0,1,1,1,1107360.0,1,0,0,,0,,7.119,0,1,0,0,1,2019,3,1,0,0,1,,,1,0
YIT Oyj,YIT,2021,Large,Industrial Goods and Services,Finland,1,2856.0,6793.0,1,1,1,854280.0,1,0,0,,0,53.912,4.654,0,1,1,0,0,2019,3,1,0,1,1,0.018876750700280113,,1,0
F-Secure Corporation,FSECURE,2019,Mid,Technology,Finland,0,217.0,1696.0,1,0,1,,0,0,0,,0,,1786.0,0,0,0,0,0,2019,4,0,0,0,1,,,1,0
F-Secure Corporation,FSECURE,2020,Mid,Technology,Finland,0,220.2,1668.0,1,1,1,5760.0,1,0,1,,0,,,0,0,0,0,0,2019,4,1,0,0,0,,,1,0
F-Secure Corporation,FSECURE,2021,Mid,Technology,Finland,0,106.3,1645.0,1,0,1,,0,0,0,,0,,,0,1,0,0,1,2019,4,0,0,0,0,,,1,0
Olvi Oyj,OLVAS,2019,Large,Consumer Goods and Services,Finland,1,408.7,1837.0,1,1,1,,0,0,1,,0,,,0,1,1,0,0,2019,4,0,0,0,0,,,1,0
Olvi Oyj,OLVAS,2020,Large,Consumer Goods and Services,Finland,1,414.9,1897.0,1,1,1,242668.8,1,0,1,,0,,,0,1,0,1,1,2019,4,1,0,0,0,,,1,0
Olvi Oyj,OLVAS,2021,Large,Consumer Goods and Services,Finland,1,462.2,2104.0,1,1,1,,1,0,1,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,1,0
Olvi Oyj,OLVAS,2022,Large,Consumer Goods and Services,Finland,0,583.7,2335.0,1,1,1,760673.16,1,0,1,2664.48,0,29.4,279.4,0,1,0,0,0,2019,4,1,1,1,1,0.05036833990063388,4.564810690423163,1,0
Vaisala Oyj,VAIAS,2019,Large,Industrial Goods and Services,Finland,1,403.6,1837.0,1,1,1,65880.0,0,0,0,23.11,0,1.169,18.064,1,1,1,1,1,2019,4,1,1,1,1,0.002896432111000991,0.057259663032705646,1,0
Vaisala Oyj,VAIAS,2020,Large,Industrial Goods and Services,Finland,1,379.5,1808.05,1,1,1,63684.0,1,1,1,,0,1.834,12.436,1,1,1,1,1,2019,4,1,0,1,1,0.0048326745718050065,,1,0
Vaisala Oyj,VAIAS,2021,Large,Industrial Goods and Services,Finland,1,437.9,1963.0,1,1,1,69588.0,1,0,1,,0,2.638,12.771,1,1,1,1,1,2019,4,1,0,1,1,0.006024206439826444,,1,0
Vaisala Oyj,VAIAS,2022,Large,Industrial Goods and Services,Finland,0,514.2,2113.0,1,1,1,67176.0,0,0,1,,0,0.515,75.599,0,1,1,1,1,2019,4,1,0,1,1,0.0010015558148580319,,1,0
Sampo Oyj,SAMAS,2021,Large,Finance,Finland,1,10580.0,38.0,1,1,1,,1,0,1,33.653,0,4.3264,6.3149,0,1,0,0,1,2021,2,0,1,1,1,0.00040892249527410204,0.003180812854442344,0,1
Sampo Oyj,SAMAS,2022,Large,Finance,Finland,0,8984.0,51.0,1,1,1,151516.8994,1,1,1,56.394,0,1.6388,15.586,1,1,0,1,1,2021,2,1,1,1,1,0.00018241317898486198,0.006277159394479074,0,1
Tikkurila Oyj,TIK,2019,Mid,Industrial Goods and Services,Finland,1,563.831,2607.0,1,0,1,264275.0,0,1,0,134.0,1,22.43,,1,1,1,1,1,2019,2,1,1,1,0,0.039781423866371304,0.2376598661655709,1,0
Tikkurila Oyj,TIK,2020,Mid,Industrial Goods and Services,Finland,1,581.974,2409.0,1,1,1,226392.0,1,1,1,125.0,1,18.326,,1,1,1,1,1,2019,2,1,1,1,0,0.03148937925061944,0.21478622756343066,1,0
Scanfil Oyj,SCANFL,2019,Mid,Industrial Goods and Services,Finland,0,579.416,3530.0,1,1,1,103320.0,0,1,1,,1,,,0,1,0,1,0,2019,4,1,0,0,0,,,1,0
Scanfil Oyj,SCANFL,2020,Mid,Industrial Goods and Services,Finland,0,595.347,3199.0,1,1,1,104040.0,0,0,1,44.875,0,,,0,1,1,1,1,2019,4,1,1,0,0,,0.07537620916877048,1,0
Scanfil Oyj,SCANFL,2021,Mid,Industrial Goods and Services,Finland,0,695.735,3262.0,1,1,1,104652.0,0,0,1,47.479,0,,,0,1,0,0,1,2019,4,1,1,0,0,,0.06824293732527471,1,0
Scanfil Oyj,SCANFL,2022,Mid,Industrial Goods and Services,Finland,0,843.756,3493.0,1,1,1,146880.0,1,0,1,55.065,0,,,0,1,0,0,1,2019,4,1,1,0,0,,0.0652617581386088,1,0
Ahlstrom-Munksjö Oyj,AM1,2019,Large,Basic Materials,Finland,1,2916.3,8102.0,1,1,1,,1,1,0,,0,,,0,1,1,1,1,2019,2,0,0,0,0,,,1,0
Ahlstrom-Munksjö Oyj,AM1,2020,Large,Basic Materials,Finland,1,2683.3,8091.0,1,1,1,,0,0,1,,0,0.0011,0.0003,0,1,1,0,1,2019,2,0,0,1,1,4.099429806581448e-07,,1,0
Aktia Bank PLC (formerly known as Aktia,AKTIA,2019,Mid,Finance,Finland,1,221.4,776.0,1,1,1,11965.32,1,1,1,,0,0.8811,64754.0,0,1,1,1,1,2019,4,1,0,1,1,0.003979674796747967,,0,1
Aktia Bank PLC (formerly known as Aktia,AKTIA,2021,Mid,Finance,Finland,1,263.784,838.0,1,1,1,11858.4,0,1,0,,0,0.468,57.721,0,1,1,1,1,2019,4,1,0,1,1,0.0017741788736238742,,0,1
Aktia Bank PLC (formerly known as Aktia,AKTIA,2022,Mid,Finance,Finland,0,254.1,847.0,1,1,1,10648.8,1,1,1,,0,0.425,161.494,0,1,1,1,1,2019,4,1,0,1,1,0.0016725698543880363,,0,1
Aktia Bank PLC (formerly known as Aktia,AKTIA,2020,Mid,Finance,Finland,1,201.117,795.0,1,1,1,13707.72,0,1,0,,0,0.55664,52.88904,0,1,1,1,1,2019,4,1,0,1,1,0.002767742160036198,,0,1
Taaleri plc,TAALA,2019,Mid,Finance,Finland,1,67.2,186.0,1,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,1
Taaleri plc,TAALA,2020,Mid,Finance,Finland,1,69.0,185.0,1,0,1,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,1
Taaleri plc,TAALA,2021,Mid,Finance,Finland,1,72.629,107.0,0,1,1,,1,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,1
Taaleri plc,TAALA,2022,Mid,Finance,Finland,0,61.03,102.0,1,1,1,111600.0,0,0,0,0.339,0,0.000129,2.118,0,0,0,0,0,2019,4,1,1,1,1,2.113714566606587e-06,0.005554645256431264,0,1
DNA Oyj,DNA,2020,Large,Other,Finland,1,934.5,1594.0,1,1,1,589600.0,1,0,0,,0,19.4,153.0,0,1,1,0,0,2019,2,1,0,1,1,0.020759764579989296,,1,0
DNA Oyj,DNA,2019,Large,Other,Finland,0,942.1,1624.0,1,1,1,567200.0,0,0,0,,0,14.0,215.0,0,1,0,0,1,2019,2,1,0,1,1,0.014860418214626896,,1,0
Caverion Oyj,CAV1V,2019,Mid,Industrial Goods and Services,Finland,1,2123.3,16273.0,1,1,1,438840.0,0,0,1,,0,29.447,,0,1,1,1,0,2019,4,1,0,1,0,0.01386850656996185,,1,0
Caverion Oyj,CAV1V,2020,Mid,Industrial Goods and Services,Finland,1,2154.9,15149.0,1,1,1,347400.0,0,0,1,,0,22.675,0.302,0,1,0,0,1,2019,4,1,0,1,1,0.010522530047798042,,1,0
Caverion Oyj,CAV1V,2021,Mid,Industrial Goods and Services,Finland,1,2139.5,14275.0,1,1,1,119880.0,0,0,0,,0,26.943,0.0268,0,1,0,0,1,2019,4,1,0,1,1,0.012593129235802759,,1,0
Caverion Oyj,CAV1V,2022,Mid,Industrial Goods and Services,Finland,0,2352.1,14570.0,0,1,1,82800.0,0,0,0,,0,23.457,0.0749,0,1,0,0,1,2019,4,1,0,1,1,0.009972790272522427,,1,0
Valmet Corporation,VALMT,2019,Large,Industrial Goods and Services,Finland,1,3547.0,13598.0,1,1,1,1339000.0,1,0,1,2485.0,0,86.6,1708.0,1,1,1,1,1,2019,3,1,1,1,1,0.024414998590358047,0.7005920496193967,1,0
Valmet Corporation,VALMT,2020,Large,Industrial Goods and Services,Finland,1,3740.0,14024.0,1,1,1,1362000.0,1,0,1,2476.0,0,79.7,1917.0,1,1,0,1,1,2019,3,1,1,1,1,0.02131016042780749,0.6620320855614973,1,0
Valmet Corporation,VALMT,2021,Large,Industrial Goods and Services,Finland,1,3935.0,14233.0,1,1,1,1154000.0,0,0,1,1554.0,0,94.9,103699.0,1,1,1,1,1,2019,3,1,1,1,1,0.02411689961880559,0.39491740787801777,1,0
Lehto Group Oyj,LEHTO,2019,Mid,Industrial Goods and Services,Finland,0,668.0,1274.0,1,1,1,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,1,0
Lehto Group Oyj,LEHTO,2020,Mid,Industrial Goods and Services,Finland,1,544.7,1018.0,1,1,1,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,1,0
Pihlajalinna Oyj,PIHLIS,2019,Mid,Health Care,Finland,0,518.6,5815.0,0,0,0,,0,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,1,0
Pihlajalinna Oyj,PIHLIS,2020,Mid,Health Care,Finland,0,508.7,5981.0,0,0,0,,0,0,0,,0,,,0,1,1,0,0,2019,4,0,0,0,0,,,1,0
Pihlajalinna Oyj,PIHLIS,2021,Mid,Health Care,Finland,1,577.774,6283.0,0,0,0,,0,0,0,,0,,,0,1,1,0,0,2019,4,0,0,0,0,,,1,0
Pihlajalinna Oyj,PIHLIS,2022,Mid,Health Care,Finland,0,690.5,5167.0,1,1,1,62488.8,0,0,0,,0,0.725,,0,1,0,0,1,2019,4,1,0,1,0,0.0010499637943519188,,1,0
Enento Group Plc,ENENTO,2019,Mid,Industrial Goods and Services,Finland,1,146.0,422.0,1,0,1,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Enento Group Plc,ENENTO,2020,Mid,Industrial Goods and Services,Finland,1,151.3,424.0,1,1,1,,1,0,0,,0,,,0,1,0,0,0,2019,2,0,0,0,0,,,0,1
Hoivatilat Oyj  (Suomen Hoivatilat Oyj),HOIVA,2019,Mid,Finance,Finland,1,23.273181,25.0,1,1,1,,0,0,0,,0,,,0,0,0,0,0,2019,1,0,0,0,0,,,0,1
Robit Oyj,ROBIT,2020,Mid,Industrial Goods and Services,Finland,0,91.631,252.0,1,1,1,,0,0,1,,0,,,0,1,1,1,1,2020,1,0,0,0,0,,,0,1
Evli Plc (formerly: Evli Bank Plc),EVLI,2019,Mid,Finance,Finland,0,81.0,249.0,1,1,1,,0,0,1,,0,,,0,0,0,0,1,2019,4,0,0,0,0,,,0,1
Evli Plc (formerly: Evli Bank Plc),EVLI,2020,Mid,Finance,Finland,1,80.0,248.0,1,1,1,,0,0,0,,0,,,0,1,0,1,1,2019,4,0,0,0,0,,,0,1
Fellow Bank (formerly: Evli Bank Plc.),FELLOW,2022,Mid,Finance,Finland,0,10.239,73.0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2022,1,0,0,0,0,,,0,1
Tokmanni Group Oyj,TOKMAN,2019,Large,Consumer Goods and Services,Finland,1,944.276,3337.0,1,1,1,411606.0,1,0,1,,0,6.176,12.328,0,1,1,1,1,2019,3,1,0,1,1,0.006540460628036719,,1,0
Tokmanni Group Oyj,TOKMAN,2020,Large,Consumer Goods and Services,Finland,1,1073.153,4041.0,1,1,1,408099.6,1,0,1,,0,16.297,673.531,1,1,1,1,1,2019,3,1,0,1,1,0.015186091824744468,,1,0
Tokmanni Group Oyj,TOKMAN,2022,Large,Consumer Goods and Services,Finland,0,1168.017,4227.0,1,1,1,456875.0,0,0,1,,0,13.792,892.248,1,1,1,1,1,2019,3,1,0,1,1,0.011808047314379842,,1,0
Kamux Oyj,KAMUX,2019,Mid,Consumer Goods and Services,Finland,0,658.5,934.0,1,1,1,,0,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,1
Kamux Oyj,KAMUX,2020,Mid,Consumer Goods and Services,Finland,0,724.1,1162.0,1,1,1,,0,0,1,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,1,0
Kamux Oyj,KAMUX,2021,Mid,Consumer Goods and Services,Finland,1,937.4,843.0,1,1,1,,0,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,1
Kamux Oyj,KAMUX,2022,Mid,Consumer Goods and Services,Finland,0,968.7,883.0,1,1,1,,0,0,1,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,1
Remedy Entertainment Oyj,REMEDY,2022,Mid,Consumer Goods and Services,Finland,0,43.588,334.0,1,0,1,,0,0,0,,0,0.061,4.024,0,0,0,0,0,2022,1,0,0,1,1,0.001399467743415619,,0,1
Terveystalo Oyj,TTALO,2020,Large,Health Care,Finland,1,986.4,8235.0,1,1,1,57398.4,0,0,1,,0,0.9964,0.0693,0,1,1,0,1,2019,4,1,0,1,1,0.0010101378751013787,,1,0
Terveystalo Oyj,TTALO,2019,Large,Health Care,Finland,1,1030.7,8685.0,1,0,1,,0,0,0,,0,2.4603,0.3002,0,1,1,0,0,2019,4,0,0,1,1,0.002387018531095372,,1,0
Terveystalo Oyj,TTALO,2021,Large,Health Care,Finland,1,1154.6,9794.0,1,1,1,51102.0,1,0,0,,0,1.5656,0.4111,0,1,1,0,1,2019,4,1,0,1,1,0.0013559674346093886,,1,0
Terveystalo Oyj,TTALO,2022,Large,Health Care,Finland,0,1259.1,10933.0,1,1,1,,0,0,1,,0,1.3441,0.8561,0,1,1,0,0,2019,4,0,0,1,1,0.0010675085378444922,,1,0
Rovio Entertainment Oyj,ROVIO,2019,Mid,Consumer Goods and Services,Finland,0,289.1,450.0,1,1,1,,0,0,0,,0,248.0,765.0,0,1,1,1,1,2019,3,0,0,1,1,0.8578346592874437,,0,1
Rovio Entertainment Oyj,ROVIO,2020,Mid,Consumer Goods and Services,Finland,0,272.3,467.0,1,0,1,,0,0,0,,0,0.154,,0,0,0,0,0,2019,3,0,0,1,0,0.0005655526992287917,,0,1
Rovio Entertainment Oyj,ROVIO,2021,Mid,Consumer Goods and Services,Finland,0,286.2,488.0,1,1,1,,0,0,0,,0,0.053,10.115,0,1,0,0,1,2019,3,0,0,1,1,0.00018518518518518518,,0,1
Altia Oyj,ALTIA,2019,Mid,Consumer Goods and Services,Finland,1,359.6,632.0,1,1,1,586800.0,1,1,1,502.6,0,66.66836,,0,1,1,0,1,2019,1,1,1,1,0,0.18539588431590656,1.3976640711902113,0,1
Anora Group,ANORA,2020,Mid,Consumer Goods and Services,Finland,1,342.4,637.0,1,1,1,583200.0,1,1,1,631.33,0,,,0,1,0,0,1,2020,1,1,1,0,0,,1.8438376168224302,0,1
Nordea Bank Oyj,NDA,2019,Large,Finance,Finland,1,12986.0,29300.0,1,1,1,405043.5636,1,0,0,155.15,0,7.032,32.374,1,1,0,1,1,2019,4,1,1,1,1,0.0005415062374865239,0.011947481903588481,1,0
Nordea Bank Oyj,NDA,2020,Large,Finance,Finland,1,15073.0,28100.0,1,1,1,374566.5234,0,0,0,11.369,0,6.248,9.65,1,1,1,1,1,2019,4,1,1,1,1,0.00041451602202613946,0.0007542625887348238,1,0
Nordea Bank Oyj,NDA,2021,Large,Finance,Finland,1,9680.0,29229.0,1,1,1,333506.16,1,0,1,,0,4.757,6.57,1,1,0,0,1,2019,4,1,0,1,1,0.0004914256198347107,,1,0
